filename,amplitude_modulation,autocorrelation,centroid_modulation_depth,crest_factor,energy_decay,harmonic_ratio,inter_peak_interval_variance,modulation_energy,post_onset_energy_ratio,rms,secondary_peak_count,spectral_bandwidth,spectral_centroid,spectral_flatness,spectral_flux,spectral_flux_variance,spectral_rolloff,sustain_ratio,temporal_centroid,zcr
test_drive_chord_2.wav,0.0007604753,0.9630216,501.1986617511982,4.806534,-0.00047553141335444834,0.5385987,12.74147438016529,0.22081043,1.0,0.03659036,91,1528.4672930881188,1998.5202526293458,0.0010295934,0.7008052,0.2738657,3443.287334680382,0.64048153,7.388284540621749,0.078735285
test_drive_powerchord_1.wav,0.002342398,0.98926556,469.1548516081175,3.0970085,-0.00018120361417147925,0.6881504,17.394839861724776,0.40536645,0.99975336,0.065986566,64,1353.0025212939345,1401.8214112238309,0.00013895547,0.8690009,0.9757374,2568.6646478164744,0.64165014,7.522587704625274,0.039262827
test_drive_solo_1.wav,0.0003849237,0.9694482,774.6869860016396,5.7407985,-0.0015088926446846873,0.9373551,53.276874496103204,0.39470664,0.99999356,0.021954715,21,1595.323697411918,1667.4304235896966,0.00094847503,0.85514235,2.217177,2803.3341317806603,0.7225329,4.886929061804388,0.05961552
test_drive_solo_2.wav,0.0005629408,0.97358876,488.2985861797862,5.7657247,-7.577144727353447e-05,0.90181303,46.9544210914711,0.39752844,0.9999996,0.028282773,8,1414.3065357549697,1592.3257635160553,0.00026868982,0.85406876,1.86377,2667.1864196593197,0.48529693,18.33542770213977,0.056361023
test_drive_solo_3.wav,0.002639201,0.99567735,2970.468000575558,3.0782862,0.000616522090261031,0.9298984,24.022489920021155,0.49832317,0.99999994,0.0636963,81,1871.4295113699006,2206.560877356335,0.049900413,0.7791138,1.3803204,4249.315067322418,0.6650663,9.994922302985174,0.05886097
test_delay+reverb_solo_2.wav,0.00015737451,0.9711177,704.6926150722176,7.800227,0.0001733780929486012,0.9362582,24.41359515578856,0.49061793,0.9999973,0.013503635,34,1591.057690365084,1568.301306379825,0.00049928733,0.7518936,1.0580152,2599.738230692268,0.23687053,19.740167736748496,0.05783479
test_dist+chorus_solo_3.wav,0.06680639,0.9937213,3094.3270425942246,3.045027,0.0005164436264423086,0.9084769,22.444352972588106,0.599534,0.99999934,0.30596983,28,2045.3449828515575,2460.8659087470755,0.06296107,0.9035213,1.4030713,4579.720791903409,0.6442873,9.940545898995918,0.07584932
test_dist+delay+reverb_powerchord_1.wav,0.151188,0.98600465,630.8313423184768,1.9117709,0.00015530577729862277,0.6718416,17.037278911564627,0.36562318,0.99999946,0.5230752,95,2588.0164074654813,2039.398112614842,0.001937905,0.9005974,0.593561,3566.530168695781,0.99338377,7.380038656972196,0.043430828
test_dist+delay_solo_3.wav,0.09078567,0.9930565,3139.327299728144,2.517532,0.000629306459369644,0.9161059,23.51681836169371,0.48751384,0.999999,0.3725764,93,2038.9360799042831,2383.4275834681193,0.0639583,0.81767595,1.586691,4426.268118866219,0.4024727,9.990613370570054,0.0761791
test_dist+reverb+delay_powerchord_1.wav,0.151188,0.98600465,630.8279459930886,1.9117709,0.000155305968312054,0.6718416,17.037278911564627,0.36562312,0.99999946,0.5230752,95,2588.019500107029,2039.3988787453322,0.0019379433,0.90059686,0.59356225,3566.5131866743886,0.9933837,7.3800387195192725,0.043430828
test_dist+reverb+delay_solo_1.wav,0.13888642,0.92044073,1888.9427521409507,1.5097985,-6.75510285793888e-05,0.75356823,24.48757544224766,0.09766186,0.9992718,0.66234004,45,5344.379808979287,5075.300985767141,0.03914657,0.92843777,0.29092434,11058.034969111372,0.99075323,5.161384401477812,0.07036667
test_dist_solo_3.wav,0.11237385,0.99309057,3268.3818149993635,2.3063862,0.00048199295834354313,0.91721743,26.81108638269241,0.49861073,0.99999934,0.41259313,103,2062.3303467096716,2483.2454253265605,0.06890034,0.83619833,1.9214627,4584.220646629648,0.84920985,9.922438030208612,0.06895838
